User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
Martin Fackler,facklernyt,"Tokyo-based author & journalist. Articles in @nytimes, @CJR, @ForeignPolicy. Georgia boy. RT not endorse.",10869,893,Mon Dec 12 02:53:19 +0000 2016,"RT @ftasia: Trump puts four-decade old ""One China"" policy in play: Trumps position is you can trade anything  https://t.co/5LQEN0Pjmy",,Yes,1,0
john the cruzzer,jhrusher,"conservative believe in the 2nd amend and in free enterprise let freedom ring 1st amend all the way and I salute the flag
a God loving man",2118,2095,Mon Dec 12 02:53:19 +0000 2016,@Politics_PR recounts really? at who's request are the counts being done? steins or clinton? and trump isn't afraid of them so answer,,No,0,0
Karen,Pink22Karen,"Mom, Grandma, Wife, retired RN, WoW, Insomniac, laughter is healthy, attempts at intelligence, documentaries, historical films",306,463,Mon Dec 12 02:53:19 +0000 2016,"RT @rdlaing: My take:

Clinton: Let me explain about the emails
   
Press: Liar liar liar
   
Trump: I lie, its what I do.
   
Press: Ok",United States,Yes,407,0
CJ,CailleachSila,"Le principal flau de l'humanit n'est pas l'ignorance, mais le refus de savoir  Simon de Beauvoir #NoDAPL #blacklivesmatter",44,123,Mon Dec 12 02:53:19 +0000 2016,"RT @ericgarland: IF on the off chance, Trump actually (and who could guess this) wins, then...wow, they've got quite an opening.","Big Swamp, MN",Yes,62,0
Meghan,meghanchel,"American who lives near NYC, but whose heart is in the UK. Liberal. Social justice warrior. Equality for all. Feminist. Mother of dragons.",348,1138,Mon Dec 12 02:53:19 +0000 2016,"RT @kurteichenwald: Putin staff consultant re: Trump choices: ""This is a fantastic team!""
Remember when Romney said Russia biggest threat?",,Yes,184,0
Daxis,daxis_gaming,"needing to make more mini-vids also #NoDapl and if want any help/advice I will be happy to oblige. interested in doing videos, journalism, curing any ailments",152,232,Mon Dec 12 02:53:19 +0000 2016,@RamonaCallender and yes it isn't that date yet so trump might not be the potus if you now abit more than the average person about elections,Palmerston North New Zealand,No,0,0
Tyler,TCoop6231,,359,364,Mon Dec 12 02:53:19 +0000 2016,@deweydiva1 @MattMackowiak The specific claim I heard was that Trump is bad because he skips some intelligence brie https://t.co/diQkAErD4O,"Oakland, CA",No,0,0
Bnthr#Notmyprez,cheapskare,,40,70,Mon Dec 12 02:53:19 +0000 2016,RT @goldengateblond: Donald Trump's last press conference was July 27. He said he hoped Russia could find Hillary's emails. https://t.co/r4,"California, USA",Yes,1057,0
Nick Kilstein,NickKilstein,History teacher by day. Mixed martial arts and wrestling coach by night. Trying my best to contribute to the education and fight scene in Mumbai.,435,877,Mon Dec 12 02:53:19 +0000 2016,"RT @BrendanNyhan: At some point, Trump admin will act on this kind of rhetoric. Our democracy is in serious trouble if patriots do not spea","Mumbai, India",Yes,81,0
Scott Wilson,born2fly2009,"I am a 41 year old actor, singer  and  writer from Toronto, Ontario Canada",470,1400,Mon Dec 12 02:53:19 +0000 2016,CIA Election Report Is FAKE NEWS To Attack Trump &amp; Russia https://t.co/pPQyxcSolP,Canada,No,0,0
RAMON O. ESCARFULLET,RAOCES,,348,2223,Mon Dec 12 02:53:19 +0000 2016,"RT @tlaustin: @Hardees @Budweiser Your CEO as Trump's Sec of Labor is a disgusting offense against human decency. Puzder hates workers, wan",,Yes,2,0
nancy green,nancy73gg,,646,340,Mon Dec 12 02:53:19 +0000 2016,"RT @LindaSuhler: With PEOTUS Donald Trump we are reminded of when our Nation made these choices over 50 yrs ago, in Reagan's ""A Time For Ch","Austin, TX",Yes,348,0
Gillian Will,MyGillianWill,"Political comedy serial The State of Wyoming. A book for people who like TV.
Episode 1 FREE https://t.co/9I4n4hOEgc",7352,6381,Mon Dec 12 02:53:19 +0000 2016,RT @mtaibbi: Fact: Donald Trump blasted both Ted Cruz and Hillary Clinton for their ties to Goldman. And he now has three Goldman vets in k,,Yes,1740,0
Name cannot be blank,tibbidoe,"Ginormous @Redskins fan #HTTR #ChiefZeeRingOfFame

There's too much hate in this country.",1118,1242,Mon Dec 12 02:53:19 +0000 2016,"RT @SeabreezeCheryl: BREAKING: Donald Trump Hit With TREASON Filing Monday Morning, Get Ready (DETAILS) https://t.co/ufmcVURB1v via @Bipart",DM(V),Yes,2,0
Reidar Roll,reroll,International political commentator. Supported Trump since July 2015. Historian and Political Scientist. Honorary Professor.,14319,7666,Mon Dec 12 02:53:18 +0000 2016,"Retweeted Trump News Global (@tfgnews):

And the execution should happen within 1 week of the crime. No more... https://t.co/C3E7BgfpVV",New York,No,0,0
Gary S Defiant,gant1014,Caregiver,116,141,Mon Dec 12 02:53:18 +0000 2016,"BREAKING: Donald Trump Hit With TREASON Filing Monday Morning, Get Ready (DETAILS) https://t.co/pJ2y2vUpSR via @Bipartisan Report",Wyoming,No,1,1
Asian 4 Trump,neptune7321,,2468,25,Mon Dec 12 02:53:18 +0000 2016,RT @floridaguy267: COAL Country Voting: Elliot County KY.  Registration 85% Democrat 8% GOP.  TRUMP 73% Hillary 27%.,TX,Yes,78,0
Pika,Pikatyr,"Whovian, sherlockeuse, Supernaturaliste, Pratchettienne, Asimoviste et fan de nologismes.",76,401,Mon Dec 12 02:53:18 +0000 2016,"RT @npfandos: McCain urging a bipartisan reaction to hacking reports: You cant make this issue partisan. Its too important 
https://t.c",,Yes,340,0
SusanBr,grandpooba5440,,387,43,Mon Dec 12 02:53:18 +0000 2016,RT @ianbremmer: Trump ignoring CIA evidence on Russian hacking for political expedience is the most irresponsible decision he has taken to,,Yes,274,0
queb,quebryant,Reagan Social Conservative.  Opinions are my own. Retweet not equal to endorsment. H-Minus!!! #FOREVERTOTHEE,1177,999,Mon Dec 12 02:53:18 +0000 2016,"RT @trump_woman: Report: Obama Wants to Become UN Secretary General, Netanyahu Doing Everything He Can to Stop Him https://t.co/toLjrt3Mdp",,Yes,17,0
LaVerne,LaVerneWright13,"Love of people, love of life,sense of humor, can laugh at self, love of God & optimism! Definitely part of Hillary's squad. Respect for Millenials. No lists pls",1096,684,Mon Dec 12 02:53:18 +0000 2016,"RT @AdamsFlaFan: Trump Okay With Pay-To-Play For Himself, Not Hillary Clinton | Crooks and Liars https://t.co/wokIcX3tph via @crooksandliars",,Yes,31,0
Jennifer,jennifer4nm,,23,105,Mon Dec 12 02:53:18 +0000 2016,"RT @kurteichenwald: Reminder of what I said in July, cause Ive known Trump since 87: Doesnt wanna BE prez, wants applause. Wont sit 4 brief",,Yes,460,0
Sharon scofield,Sharonscofield2,"Liberal thinking, pro people of all races, religions, creeds.",184,70,Mon Dec 12 02:53:18 +0000 2016,"RT @WillBlackWriter: Please tweet and ask your followers to tweet this Vine of Donald Trump asking Russia to hack Clinton. 
#Treason

https","Midwest, USA ",Yes,1653,0
"talk about holidays,",pultuskpa,"when we log in, we get mad that we are come to this great site of fools",550,1014,Mon Dec 12 02:53:18 +0000 2016,"RT @mattdpearce: Behold, the next four years of our lives: https://t.co/fxANTMHByO https://t.co/oDbqsZLMOX",right bank of the ohio,Yes,813,0
Adam Heatherly,AdamHeatherly,Actor Philanthropist Sexy Mexican Werewolf,57,237,Mon Dec 12 02:53:18 +0000 2016,@ChristophSouza @VitruvianMonkey oh yeah he was almost as bad with twitter as donald trump again midnights edge great videos,,No,0,1
Tom Kardon,tomkardon,Retired Radio personality. Joke writer. Blog Publisher. Liberal Agnostic. Critic. Arm twisting Cynic. Is religion necessary?,1140,1639,Mon Dec 12 02:53:18 +0000 2016,"RT @thehill: Reporter who broke Watergate story calls Trump's lies worse than Nixon's
https://t.co/LO4hyPAgxo https://t.co/mjJvsj5okk",USA,Yes,73,0
Tia Fabi,TC_Stark,"Head writer for https://t.co/o6n7fhXLYM
Tattoo enthusiast. Feminist. Fandoms: #Supernatural #iZombie #Marvel
Rock n Roll stole my heart",919,2530,Mon Dec 12 02:53:18 +0000 2016,RT @EW: Do NOT tweet Donald Trump right now telling him that Alec Baldwin just won a #CriticsChoice award for his #SNL portrayal of him. ,"Yonkers, New York ",Yes,138,0
Jack Henry,johnyc46,"NYC,  Independent, News, Sports, Intelligent people,",3590,3558,Mon Dec 12 02:53:18 +0000 2016,Trump as a non politician did something McCain never could or will accomplish. Got Elected President. https://t.co/zLYOJk3VnS,"Staten Island, NY",No,0,0
Not THAT Hilary,HilaryVervers,"Married, I guess. 2 out of 3 children think I'm hilarious.",1242,1006,Mon Dec 12 02:53:18 +0000 2016,"RT @bornmiserable: Donald Trump, who literally begged Russia to find Hillary Clinton's emails, denies Russia's involvement in helping him w","New Jersey, USA",Yes,6,0
