User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
Reagan Coalition,ReaganCoalition,"I am proud to be an American: Small Government. Liberty. Freedom. Constitution. 
I did NOT vote for Obama.",45620,16,Mon Dec 12 03:04:22 +0000 2016,REVEALED  The Hillary Aide Who KNEW It Was All Over https://t.co/pBxUGkdoYl,,No,2,3
Toni Colella,tonic516,,191,283,Mon Dec 12 03:04:21 +0000 2016,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same","Florida, USA",Yes,67,0
Red Nation Christmas,oklegacy,,555,358,Mon Dec 12 03:04:21 +0000 2016,RT @pambesteder: Didn't Hillary and Obama push the RESET button with Russia because THEY wanted a better relationship with them?,,Yes,8,0
C C,Cc54518746C,,47,80,Mon Dec 12 03:04:20 +0000 2016,"RT @MissLizzyNJ: Hillary Clinton, who accepted millions from Saudi Arabia &amp; Qatar, is suddenly concerned about foreign governments influenc",,Yes,406,0
Doug Goodwin,photo4art,"Conservative Husband & Father, Pastor, Photographer, & Writer. Photography is a profession, the Gospel is my passion. #NRA Life Member! #ccot #WAAR #tcot",2461,2637,Mon Dec 12 03:04:20 +0000 2016,"RT @CarmineZozzora: Nothing like the CIA saving all their Russia ""secret assessment"" stuff up until after ""shoo-in"" Hillary lost the electi",The Lake of the Ozarks,Yes,272,0
,annettedufresne,,123,211,Mon Dec 12 03:04:19 +0000 2016,"RT @Chemzes: Me when somebody asks for my thoughts on Hillary Clinton

https://t.co/VlFIAYCc4K",,Yes,47,0
Keith Lockhart,TrumptheGOP,Pro Humanity..Pro Global Peace..Animal Lover..America Must Wake Up To the True Threats to Mankind and Prevent This Satanic Force from any More Global Bloodshed.,249,566,Mon Dec 12 03:04:19 +0000 2016,"RT @datrumpnation1: Look who is behind the Russian CIA story:
1. Washington Post
2. Obama
3. Schumer 
4. McCain &amp; Lindsay Graham
5. Hillary","Southern New Hampshire, USA",Yes,660,0
JMC,sancusbook,Liberal Strong. Proud Wife. Democrat to the core. #UniteBlue #ImWithHer #HRC #LGBTIQ #BlackLivesMatter #StandingRock #SandyHook,110,210,Mon Dec 12 03:04:19 +0000 2016,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same","Chicago, IL",Yes,67,0
CuriouslyYours,curiously_yours,RT not necessarily endorsement. Like = many possible meanings.,60,74,Mon Dec 12 03:04:19 +0000 2016,"RT @ericgarland: Hillary, for her part, gives a brief and all-too-calm speech and goes hiking. 

Probably the best move on the board.","New York, NY",Yes,191,0
Ex-Democrat,jjmikemike,"Thank you, Bernie for opening my eyes.  But now I must move on. #DemExit",1106,1398,Mon Dec 12 03:04:19 +0000 2016,"Just a reminder from @CNN, from before Hillary lost. https://t.co/xg0c0XllYJ",,No,1,2
Deborah,debelwar,"Reader, librarian, observer, earnest participant",51,229,Mon Dec 12 03:04:19 +0000 2016,RT @DisavowTrump16: U.S. Concludes that Russia was involved in our election! RETWEET to to tell the Electoral College to vote for Hillary!,New York,Yes,2729,0
Terri Green,TerriGreenUSA,Wife of 1. Christian. Granddaughter of an Honorary Blue Angel. Eagle Forum Volunteer of the Year. #SentinelNation http:// https://t.co/rVtUtyJwG9,13832,6622,Mon Dec 12 03:04:17 +0000 2016,"Hillary was careless with her many cell phones and emails. And this happened under Obama's watch, not under a Repub https://t.co/Ok8DxvwVqB","Atlanta, GA USA",No,2,2
michelekirkBPR,michelekirkBPR,Managing editor & journalist for conservative political and business  news publication  - Proud mother of  brave US Marine -  #USMC,34911,22233,Mon Dec 12 03:04:17 +0000 2016,"Dem gov. of Virginia recalls omen that spelled doom for Hillary, and it has to do with his chickens https://t.co/5VukS6bAr4","WPB, Fla",No,0,1
Monique Hodgkinson,ScreenCaffeen,"Crazy about Marketing, Technology,  Making, and Horses. Marketing Exec @VLAB. I tweet the things that I think are funny or worth thinking about",2462,2677,Mon Dec 12 03:04:16 +0000 2016,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same",California,Yes,67,0
gayland carroll,gscarroll47,"Christian, American Conservative, NRA, Defending the Constitution, Socialism runs on corruption and inequality, it always leads to ruin! #TGDN",1926,2309,Mon Dec 12 03:04:16 +0000 2016,"RT @Patrici15767099: If Dems big donors are stupid enough to believe Hillary lost the election b/c of Russian influence, they deserve to lo",,Yes,28,0
Randy Green,rgreen00,,367,45,Mon Dec 12 03:04:16 +0000 2016,"RT @FoxNews: .@AllenWest: ""It was President Obama, along with Hillary Clinton, that came up with the 'Russian reset button.'"" @JudgeJeanine",,Yes,475,0
